Name,Handedness,Date,Team,Opp,GS,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Clayton Kershaw,L,2017-09-30,LAD,@COL,1,0,0,6.75,1,1,0,0,0,0,0,4.0,18,7,3,3,1,0,0,0,0,0,2,37
Clayton Kershaw,L,2017-09-24,LAD,SFG,1,1,0,1.13,1,1,0,0,0,0,0,8.0,28,8,1,1,1,0,0,0,0,0,6,69
Clayton Kershaw,L,2017-09-18,LAD,@PHI,1,0,1,6.00,1,1,0,0,0,0,0,6.0,24,4,4,4,1,2,0,0,0,0,6,52
Clayton Kershaw,L,2017-09-12,LAD,@SFG,1,1,0,1.50,1,1,0,0,0,0,0,6.0,27,8,2,1,1,1,0,0,0,0,6,52
Clayton Kershaw,L,2017-09-07,LAD,COL,1,0,1,9.82,1,1,0,0,0,0,0,3.2,21,6,4,4,1,3,0,0,1,0,7,33
Clayton Kershaw,L,2017-09-01,LAD,@SDP,1,1,0,0.00,1,1,0,0,0,0,0,6.0,20,2,0,0,0,0,0,0,0,0,7,79
Clayton Kershaw,L,2017-07-23,LAD,ATL,1,0,0,0.00,1,1,0,0,0,0,0,2.0,7,0,0,0,0,1,0,0,0,0,2,52
Clayton Kershaw,L,2017-07-18,LAD,@CHW,1,1,0,0.00,1,1,0,0,0,0,0,7.0,28,7,0,0,0,1,0,0,0,1,7,73
Clayton Kershaw,L,2017-07-09,LAD,KCR,1,1,0,2.00,1,1,1,0,0,0,0,9.0,33,6,2,2,1,0,0,0,0,0,13,83
Clayton Kershaw,L,2017-07-04,LAD,ARI,1,1,0,0.00,1,1,0,0,0,0,0,7.0,25,2,0,0,0,2,0,0,0,0,11,85
Clayton Kershaw,L,2017-06-29,LAD,@LAA,1,1,0,0.00,1,1,0,0,0,0,0,7.0,26,3,1,0,0,2,0,0,0,0,12,81
Clayton Kershaw,L,2017-06-24,LAD,COL,1,1,0,0.00,1,1,0,0,0,0,0,6.0,23,4,0,0,0,1,0,0,0,0,8,74
