Jim Rushford	statsd.aspx?playerid=1623&position=OF
Miguel Gomez	statsd.aspx?playerid=17075&position=2B
Julio Lugo	statsd.aspx?playerid=565&position=SS
Rod Barajas	statsd.aspx?playerid=45&position=C
Tom Murphy	statsd.aspx?playerid=13499&position=C
Nick Castellanos	statsd.aspx?playerid=11737&position=3B
John Flaherty	statsd.aspx?playerid=1206&position=C
George Kottaras	statsd.aspx?playerid=5506&position=C
Christian Arroyo	statsd.aspx?playerid=16434&position=3B/SS
Rafael Palmeiro	statsd.aspx?playerid=1266&position=1B
Michael Bourn	statsd.aspx?playerid=6387&position=OF
Kyle Higashioka	statsd.aspx?playerid=5517&position=C
Rob Mackowiak	statsd.aspx?playerid=995&position=OF
Hector Ortiz	statsd.aspx?playerid=1264&position=C
Howie Clark	statsd.aspx?playerid=1533&position=OF
Michael Taylor	statsd.aspx?playerid=11489&position=OF
Mike Olt	statsd.aspx?playerid=10698&position=3B
Brandon Phillips	statsd.aspx?playerid=791&position=2B
Luis Torrens	statsd.aspx?playerid=15905&position=C
Jose Tabata	statsd.aspx?playerid=2411&position=OF
Jerry Sands	statsd.aspx?playerid=4016&position=OF
Mark Bellhorn	statsd.aspx?playerid=264&position=2B/3B
Paul Konerko	statsd.aspx?playerid=242&position=1B
Jamie Romak	statsd.aspx?playerid=5552&position=1B/OF
Ryan Freel	statsd.aspx?playerid=1207&position=OF
Billy Hamilton	statsd.aspx?playerid=10199&position=OF
Steve Cox	statsd.aspx?playerid=1200&position=1B
Rougned Odor	statsd.aspx?playerid=12282&position=2B
Shane Peterson	statsd.aspx?playerid=7423&position=OF
Yorvit Torrealba	statsd.aspx?playerid=1135&position=C
Brett Gardner	statsd.aspx?playerid=9927&position=OF
Eric Hosmer	statsd.aspx?playerid=3516&position=1B
Brian Dozier	statsd.aspx?playerid=9810&position=2B
Dustin Garneau	statsd.aspx?playerid=9433&position=C
Jeff Duncan	statsd.aspx?playerid=1715&position=OF
Eliezer Alfonzo	statsd.aspx?playerid=2331&position=C
Bobby Scales	statsd.aspx?playerid=2673&position=3B/OF
Jeremy Giambi	statsd.aspx?playerid=913&position=DH/OF
Rafael Furcal	statsd.aspx?playerid=88&position=SS
Juan Perez	statsd.aspx?playerid=5371&position=OF
Rene Reyes	statsd.aspx?playerid=1774&position=OF
Brent Abernathy	statsd.aspx?playerid=1192&position=2B
Ryan McMahon	statsd.aspx?playerid=15112&position=1B/2B/3B
Brian Myrow	statsd.aspx?playerid=3702&position=1B
Jason Pridie	statsd.aspx?playerid=4611&position=OF
Raul Mondesi	statsd.aspx?playerid=13769&position=2B
Kelly Shoppach	statsd.aspx?playerid=3867&position=C
Matt Holliday	statsd.aspx?playerid=1873&position=OF
Marlon Anderson	statsd.aspx?playerid=947&position=2B
Alberto Rosario	statsd.aspx?playerid=7125&position=C
Ken Griffey Jr.	statsd.aspx?playerid=327&position=OF
Tony Batista	statsd.aspx?playerid=124&position=3B
Charlton Jimerson	statsd.aspx?playerid=2171&position=OF
Christian Vazquez	statsd.aspx?playerid=9774&position=C
Jason Michaels	statsd.aspx?playerid=1399&position=OF
Mo Vaughn	statsd.aspx?playerid=899&position=1B
Matt Tupman	statsd.aspx?playerid=4381&position=C
Aaron Rowand	statsd.aspx?playerid=254&position=OF
Kevin Mattison	statsd.aspx?playerid=6635&position=OF
Justin Turner	statsd.aspx?playerid=5235&position=3B
